outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
33.7,43.0,0.0,0.0,32.7,31.8,31.0,45.0,44.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
32.7,45.0,0.0,0.0,31.8,31.0,30.5,44.0,45.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
31.8,44.0,0.0,0.0,31.0,30.5,30.8,45.0,46.0,46.0,0.0,0.0,36.0,0.0,0.0,67.0
31.0,45.0,0.0,0.0,30.5,30.8,30.0,46.0,46.0,46.0,0.0,36.0,85.0,0.0,67.0,226.0
30.5,46.0,0.0,0.0,30.8,30.0,30.0,46.0,46.0,49.0,36.0,85.0,122.0,67.0,226.0,434.0
30.8,46.0,36.0,67.0,30.0,30.0,32.0,46.0,49.0,43.0,85.0,122.0,147.0,226.0,434.0,635.0
30.0,46.0,85.0,226.0,30.0,32.0,35.0,49.0,43.0,37.0,122.0,147.0,164.0,434.0,635.0,801.0
30.0,49.0,122.0,434.0,32.0,35.0,38.3,43.0,37.0,38.0,147.0,164.0,174.0,635.0,801.0,915.0
32.0,43.0,147.0,635.0,35.0,38.3,39.0,37.0,38.0,35.0,164.0,174.0,179.0,801.0,915.0,967.0
35.0,37.0,164.0,801.0,38.3,39.0,40.0,38.0,35.0,31.0,174.0,179.0,178.0,915.0,967.0,953.0
38.3,38.0,174.0,915.0,39.0,40.0,39.5,35.0,31.0,23.0,179.0,178.0,171.0,967.0,953.0,874.0
39.0,35.0,179.0,967.0,40.0,39.5,38.0,31.0,23.0,25.0,178.0,171.0,158.0,953.0,874.0,737.0
40.0,31.0,178.0,953.0,39.5,38.0,40.0,23.0,25.0,22.0,171.0,158.0,138.0,874.0,737.0,554.0
39.5,23.0,171.0,874.0,38.0,40.0,40.4,25.0,22.0,22.0,158.0,138.0,109.0,737.0,554.0,345.0
38.0,25.0,158.0,737.0,40.0,40.4,41.0,22.0,22.0,23.0,138.0,109.0,63.0,554.0,345.0,146.0
40.0,22.0,138.0,554.0,40.4,41.0,38.0,22.0,23.0,21.0,109.0,63.0,17.0,345.0,146.0,28.0
40.4,22.0,109.0,345.0,41.0,38.0,35.5,23.0,21.0,30.0,63.0,17.0,0.0,146.0,28.0,0.0
41.0,23.0,63.0,146.0,38.0,35.5,35.0,21.0,30.0,32.0,17.0,0.0,0.0,28.0,0.0,0.0
38.0,21.0,17.0,28.0,35.5,35.0,34.0,30.0,32.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5,30.0,0.0,0.0,35.0,34.0,33.8,32.0,36.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,32.0,0.0,0.0,34.0,33.8,33.0,36.0,38.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,36.0,0.0,0.0,33.8,33.0,33.0,38.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
33.8,38.0,0.0,0.0,33.0,33.0,32.2,44.0,44.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,44.0,0.0,0.0,33.0,32.2,32.0,44.0,48.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,44.0,0.0,0.0,32.2,32.0,31.0,48.0,52.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
32.2,48.0,0.0,0.0,32.0,31.0,31.1,52.0,55.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,52.0,0.0,0.0,31.0,31.1,31.0,55.0,48.0,49.0,0.0,0.0,37.0,0.0,0.0,69.0
31.0,55.0,0.0,0.0,31.1,31.0,31.0,48.0,49.0,49.0,0.0,37.0,88.0,0.0,69.0,233.0
31.1,48.0,0.0,0.0,31.0,31.0,32.0,49.0,49.0,46.0,37.0,88.0,125.0,69.0,233.0,447.0
31.0,49.0,37.0,69.0,31.0,32.0,33.0,49.0,46.0,41.0,88.0,125.0,151.0,233.0,447.0,654.0
31.0,49.0,88.0,233.0,32.0,33.0,33.0,46.0,41.0,36.0,125.0,151.0,168.0,447.0,654.0,824.0
32.0,46.0,125.0,447.0,33.0,33.0,34.2,41.0,36.0,34.0,151.0,168.0,179.0,654.0,824.0,941.0
33.0,41.0,151.0,654.0,33.0,34.2,34.0,36.0,34.0,34.0,168.0,179.0,184.0,824.0,941.0,993.0
33.0,36.0,168.0,824.0,34.2,34.0,34.0,34.0,34.0,36.0,179.0,184.0,182.0,941.0,993.0,977.0
34.2,34.0,179.0,941.0,34.0,34.0,34.0,34.0,36.0,34.0,184.0,182.0,175.0,993.0,977.0,893.0
34.0,34.0,184.0,993.0,34.0,34.0,34.0,36.0,34.0,36.0,182.0,175.0,161.0,977.0,893.0,750.0
34.0,36.0,182.0,977.0,34.0,34.0,34.0,34.0,36.0,36.0,175.0,161.0,140.0,893.0,750.0,561.0
34.0,34.0,175.0,893.0,34.0,34.0,34.0,36.0,36.0,30.0,161.0,140.0,111.0,750.0,561.0,348.0
34.0,36.0,161.0,750.0,34.0,34.0,33.0,36.0,30.0,36.0,140.0,111.0,64.0,561.0,348.0,148.0
34.0,36.0,140.0,561.0,34.0,33.0,33.0,30.0,36.0,41.0,111.0,64.0,18.0,348.0,148.0,29.0
34.0,30.0,111.0,348.0,33.0,33.0,32.0,36.0,41.0,46.0,64.0,18.0,0.0,148.0,29.0,0.0
33.0,36.0,64.0,148.0,33.0,32.0,31.0,41.0,46.0,49.0,18.0,0.0,0.0,29.0,0.0,0.0
33.0,41.0,18.0,29.0,32.0,31.0,31.0,46.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,46.0,0.0,0.0,31.0,31.0,31.0,49.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,49.0,0.0,0.0,31.0,31.0,31.0,46.0,46.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,31.0,31.0,31.0,46.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,31.0,31.0,30.5,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,43.0,0.0,0.0,31.0,30.5,31.0,43.0,43.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,43.0,0.0,0.0,30.5,31.0,31.0,43.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
30.5,43.0,0.0,0.0,31.0,31.0,29.0,40.0,43.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,40.0,0.0,0.0,31.0,29.0,28.0,43.0,47.0,51.0,0.0,0.0,37.0,0.0,0.0,68.0
31.0,43.0,0.0,0.0,29.0,28.0,29.0,47.0,51.0,48.0,0.0,37.0,88.0,0.0,68.0,229.0
29.0,47.0,0.0,0.0,28.0,29.0,31.2,51.0,48.0,48.0,37.0,88.0,125.0,68.0,229.0,438.0
28.0,51.0,37.0,68.0,29.0,31.2,32.0,48.0,48.0,43.0,88.0,125.0,150.0,229.0,438.0,640.0
29.0,48.0,88.0,229.0,31.2,32.0,33.0,48.0,43.0,41.0,125.0,150.0,167.0,438.0,640.0,806.0
31.2,48.0,125.0,438.0,32.0,33.0,32.9,43.0,41.0,43.0,150.0,167.0,178.0,640.0,806.0,919.0
32.0,43.0,150.0,640.0,33.0,32.9,34.0,41.0,43.0,36.0,167.0,178.0,182.0,806.0,919.0,970.0
33.0,41.0,167.0,806.0,32.9,34.0,34.0,43.0,36.0,39.0,178.0,182.0,181.0,919.0,970.0,955.0
32.9,43.0,178.0,919.0,34.0,34.0,33.9,36.0,39.0,39.0,182.0,181.0,174.0,970.0,955.0,873.0
34.0,36.0,182.0,970.0,34.0,33.9,34.0,39.0,39.0,41.0,181.0,174.0,160.0,955.0,873.0,733.0
34.0,39.0,181.0,955.0,33.9,34.0,34.0,39.0,41.0,34.0,174.0,160.0,139.0,873.0,733.0,549.0
