season,algorithm,reward_mode,mean_reward,carbon_emissions_total,cost_total,daily_one_minus_load_factor_average,discomfort_proportion,ramping_average
Q1_winter,neutral,neutral,-1423.2562124568242,0.5141623599122317,0.4868375182639555,1.3147284162821287,0.651177562091821,0.9180015290054202
Q1_winter,ippo,flat_shared,-1749.9882703571304,0.723933112929665,0.6934356797316722,1.1652052841686147,0.6932693744327628,1.0104726531124302
Q1_winter,ippo,local_individual,-271.19766622898845,0.546586637043556,0.5113327278351038,1.228350962225631,0.6386116739642265,0.9025843777377437
Q1_winter,ippo,uae_weighted,-1699.2383771578059,0.720566244128821,0.691626826208747,1.1714663340580955,0.6917806032724131,1.008998512828858
Q1_winter,mappo,flat_shared,-1640.2488634610297,0.6251332669375405,0.5878607917520182,1.187455222509076,0.6402692046981439,1.0023320418537267
Q1_winter,mappo,local_individual,-289.8937174954567,0.5743158253055177,0.5429643079424,1.2282074649819787,0.6631044707961151,0.9368557722865386
Q1_winter,mappo,uae_weighted,-1555.6015418330664,0.6122639306232637,0.5767154419882915,1.181104623893183,0.6479201438481398,0.9815025027910517
Q2_spring,neutral,neutral,-1424.1541755962387,0.39027012356090224,0.3664430979668138,1.4201264717547901,0.9897583956417142,0.843423488795835
Q2_spring,ippo,flat_shared,-1584.8634011077354,0.4572193194627201,0.4375782102442738,1.3637995405198324,0.9853266992649746,0.9345821390319671
Q2_spring,ippo,local_individual,-267.8683877880017,0.40535652451894305,0.37784295916902133,1.3681878648970505,0.9889521370355171,0.8228909836383709
Q2_spring,ippo,uae_weighted,-1508.3825454977116,0.4568082612186662,0.43674021295324444,1.3743001946279896,0.9754444359959291,0.9299803239559559
Q2_spring,mappo,flat_shared,-1687.5063570292612,0.49489687908983343,0.4649234891925675,1.2729723338105141,0.964788436313705,0.8809063585420625
Q2_spring,mappo,local_individual,-301.7467781542814,0.45346528221427707,0.4197913103882582,1.3294689719421944,0.9844614521697544,0.8670871286397899
Q2_spring,mappo,uae_weighted,-1527.0047342986115,0.45257500751956165,0.42534230631946635,1.3086084742944175,0.9769020197080751,0.8837668237329515
Q3_summer,neutral,neutral,-1425.2099857169403,0.3654405196435791,0.343293825983601,1.450531643017227,0.9942476466707074,0.8244819952453409
Q3_summer,ippo,flat_shared,-1550.7346136818762,0.41892811105400374,0.4006721668731619,1.3948574306690673,0.9933285290236488,0.8795277937070196
Q3_summer,ippo,local_individual,-264.2818698465853,0.37581444049589674,0.3509389446249929,1.4067260960213637,0.9939349512360609,0.7940530424071472
Q3_summer,ippo,uae_weighted,-1480.164162425549,0.41861494332139243,0.39827419174235285,1.4065226933289192,0.993098749611884,0.9001696922884307
Q3_summer,mappo,flat_shared,-1701.2981996118622,0.4852181919218976,0.4586651763890612,1.2929308787697398,0.988922950613253,0.8196037222543723
Q3_summer,mappo,local_individual,-309.52000536301927,0.43949313840212634,0.4083068708858603,1.3309136378370205,0.9894127625254786,0.8234207866733971
Q3_summer,mappo,uae_weighted,-1524.1242047329176,0.4351154350240805,0.4124865423840336,1.338686559670412,0.9939599793571782,0.8475985818160758
Q4_autumn,neutral,neutral,-1424.9232497978226,0.4668124009650938,0.4410014241103996,1.3560222227566519,0.8961253384845449,0.8929876394086012
Q4_autumn,ippo,flat_shared,-1663.2377945665532,0.5972856594118797,0.5757411488747982,1.241295752506362,0.879635657519522,0.9807072733604255
Q4_autumn,ippo,local_individual,-269.38248671920655,0.49016780069743543,0.45839231282236553,1.2733826309376102,0.8843477602559187,0.8639548690069763
Q4_autumn,ippo,uae_weighted,-1600.2946900694953,0.594649996443288,0.5728630429365373,1.2555423278951259,0.8708262312797377,1.0070269411079924
Q4_autumn,mappo,flat_shared,-1577.8434162581625,0.5436892421324967,0.5133415457383497,1.2448262760496525,0.882339685318617,0.9612608585899493
Q4_autumn,mappo,local_individual,-287.09919398595383,0.5138368429231868,0.4811639053611498,1.2840003389615817,0.8823596303892384,0.912429332547219
Q4_autumn,mappo,uae_weighted,-1477.5124755720544,0.5216126169758124,0.4929002654895243,1.24352953082859,0.8828648075927035,0.9459064876744526
