algorithm,reward_mode,cost_function,value
neutral,neutral,carbon_emissions_total,0.3616489391593436
neutral,neutral,cost_total,0.33916400293121945
neutral,neutral,daily_one_minus_load_factor_average,1.4468551526698161
neutral,neutral,discomfort_proportion,0.9942476466707074
neutral,neutral,ramping_average,0.8187261238563435
ippo,flat_shared,carbon_emissions_total,0.41395003206360137
ippo,flat_shared,cost_total,0.39481492661373757
ippo,flat_shared,daily_one_minus_load_factor_average,1.395881336513388
ippo,flat_shared,discomfort_proportion,0.9933285290236488
ippo,flat_shared,ramping_average,0.8765751621084354
ippo,local_individual,carbon_emissions_total,0.37171264207718907
ippo,local_individual,cost_total,0.34662738246444563
ippo,local_individual,daily_one_minus_load_factor_average,1.400861637758201
ippo,local_individual,discomfort_proportion,0.9942476466707074
ippo,local_individual,ramping_average,0.7853959625291983
ippo,uae_weighted,carbon_emissions_total,0.41339281772276637
ippo,uae_weighted,cost_total,0.3921836398765178
ippo,uae_weighted,daily_one_minus_load_factor_average,1.4024486604568949
ippo,uae_weighted,discomfort_proportion,0.9928870389697728
ippo,uae_weighted,ramping_average,0.8918015262478546
mappo,flat_shared,carbon_emissions_total,0.48193569193890456
mappo,flat_shared,cost_total,0.45489333309686414
mappo,flat_shared,daily_one_minus_load_factor_average,1.2748076742492187
mappo,flat_shared,discomfort_proportion,0.986284704440524
mappo,flat_shared,ramping_average,0.8024607888691466
mappo,local_individual,carbon_emissions_total,0.43714668098946424
mappo,local_individual,cost_total,0.4051037637155444
mappo,local_individual,daily_one_minus_load_factor_average,1.327946181428725
mappo,local_individual,discomfort_proportion,0.9884092960047707
mappo,local_individual,ramping_average,0.8236168014015804
mappo,uae_weighted,carbon_emissions_total,0.4314621720898044
mappo,uae_weighted,cost_total,0.40856439737292777
mappo,uae_weighted,daily_one_minus_load_factor_average,1.3253550260681204
mappo,uae_weighted,discomfort_proportion,0.9936863066697125
mappo,uae_weighted,ramping_average,0.8384947748557677
