outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
20.0,60.0,0.0,0.0,19.5,19.0,18.0,62.0,64.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,62.0,0.0,0.0,19.0,18.0,17.7,64.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,64.0,0.0,0.0,18.0,17.7,17.0,68.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,68.0,0.0,0.0,17.7,17.0,16.0,70.0,72.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
17.7,70.0,0.0,0.0,17.0,16.0,15.7,72.0,77.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,72.0,0.0,0.0,16.0,15.7,17.0,77.0,78.0,72.0,0.0,0.0,45.0,0.0,0.0,137.0
16.0,77.0,0.0,0.0,15.7,17.0,18.0,78.0,72.0,68.0,0.0,45.0,85.0,0.0,137.0,316.0
15.7,78.0,0.0,0.0,17.0,18.0,21.4,72.0,68.0,54.0,45.0,85.0,105.0,137.0,316.0,487.0
17.0,72.0,45.0,137.0,18.0,21.4,23.0,68.0,54.0,44.0,85.0,105.0,111.0,316.0,487.0,618.0
18.0,68.0,85.0,316.0,21.4,23.0,23.0,54.0,44.0,44.0,105.0,111.0,113.0,487.0,618.0,680.0
21.4,54.0,105.0,487.0,23.0,23.0,23.6,44.0,44.0,40.0,111.0,113.0,111.0,618.0,680.0,671.0
23.0,44.0,111.0,618.0,23.0,23.6,24.0,44.0,40.0,29.0,113.0,111.0,105.0,680.0,671.0,594.0
23.0,44.0,113.0,680.0,23.6,24.0,24.0,40.0,29.0,34.0,111.0,105.0,93.0,671.0,594.0,458.0
