outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
25.8,68.0,0.0,0.0,25.1,24.6,24.1,71.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
25.1,71.0,0.0,0.0,24.6,24.1,23.8,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
24.6,72.0,0.0,0.0,24.1,23.8,24.0,72.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
24.1,72.0,0.0,0.0,23.8,24.0,23.0,72.0,70.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
23.8,72.0,0.0,0.0,24.0,23.0,23.9,70.0,73.0,70.0,0.0,0.0,50.0,0.0,0.0,127.0
24.0,70.0,0.0,0.0,23.0,23.9,25.0,73.0,70.0,65.0,0.0,50.0,96.0,0.0,127.0,335.0
23.0,73.0,0.0,0.0,23.9,25.0,27.0,70.0,65.0,58.0,50.0,96.0,123.0,127.0,335.0,560.0
23.9,70.0,50.0,127.0,25.0,27.0,30.4,65.0,58.0,39.0,96.0,123.0,140.0,335.0,560.0,751.0
25.0,65.0,96.0,335.0,27.0,30.4,32.0,58.0,39.0,31.0,123.0,140.0,150.0,560.0,751.0,887.0
27.0,58.0,123.0,560.0,30.4,32.0,31.0,39.0,31.0,33.0,140.0,150.0,155.0,751.0,887.0,956.0
30.4,39.0,140.0,751.0,32.0,31.0,31.5,31.0,33.0,31.0,150.0,155.0,154.0,887.0,956.0,952.0
32.0,31.0,150.0,887.0,31.0,31.5,33.0,33.0,31.0,21.0,155.0,154.0,149.0,956.0,952.0,872.0
31.0,33.0,155.0,956.0,31.5,33.0,33.0,31.0,21.0,19.0,154.0,149.0,137.0,952.0,872.0,722.0
31.5,31.0,154.0,952.0,33.0,33.0,31.0,21.0,19.0,31.0,149.0,137.0,117.0,872.0,722.0,519.0
33.0,21.0,149.0,872.0,33.0,31.0,30.0,19.0,31.0,31.0,137.0,117.0,86.0,722.0,519.0,290.0
