outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
33.2,59.0,0.0,0.0,33.0,33.0,33.0,57.0,57.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,57.0,0.0,0.0,33.0,33.0,32.8,57.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,57.0,0.0,0.0,33.0,32.8,33.0,58.0,56.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,58.0,0.0,0.0,32.8,33.0,33.0,56.0,53.0,62.0,0.0,0.0,34.0,0.0,0.0,56.0
32.8,56.0,0.0,0.0,33.0,33.0,32.2,53.0,62.0,48.0,0.0,34.0,88.0,0.0,56.0,201.0
33.0,53.0,0.0,0.0,33.0,32.2,34.0,62.0,48.0,41.0,34.0,88.0,131.0,56.0,201.0,400.0
33.0,62.0,34.0,56.0,32.2,34.0,35.0,48.0,41.0,50.0,88.0,131.0,160.0,201.0,400.0,600.0
32.2,48.0,88.0,201.0,34.0,35.0,36.6,41.0,50.0,38.0,131.0,160.0,180.0,400.0,600.0,766.0
34.0,41.0,131.0,400.0,35.0,36.6,38.0,50.0,38.0,36.0,160.0,180.0,193.0,600.0,766.0,883.0
35.0,50.0,160.0,600.0,36.6,38.0,38.0,38.0,36.0,32.0,180.0,193.0,199.0,766.0,883.0,941.0
36.6,38.0,180.0,766.0,38.0,38.0,38.9,36.0,32.0,29.0,193.0,199.0,198.0,883.0,941.0,934.0
38.0,36.0,193.0,883.0,38.0,38.9,40.0,32.0,29.0,32.0,199.0,198.0,191.0,941.0,934.0,862.0
38.0,32.0,199.0,941.0,38.9,40.0,41.0,29.0,32.0,36.0,198.0,191.0,176.0,934.0,862.0,731.0
38.9,29.0,198.0,934.0,40.0,41.0,39.9,32.0,36.0,35.0,191.0,176.0,154.0,862.0,731.0,552.0
40.0,32.0,191.0,862.0,41.0,39.9,38.0,36.0,35.0,45.0,176.0,154.0,121.0,731.0,552.0,348.0
41.0,36.0,176.0,731.0,39.9,38.0,38.0,35.0,45.0,40.0,154.0,121.0,74.0,552.0,348.0,156.0
39.9,35.0,154.0,552.0,38.0,38.0,37.5,45.0,40.0,44.0,121.0,74.0,23.0,348.0,156.0,34.0
