outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
31.5,56.0,0.0,0.0,30.9,30.2,29.4,55.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
30.9,55.0,0.0,0.0,30.2,29.4,28.8,53.0,53.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
30.2,53.0,0.0,0.0,29.4,28.8,29.1,53.0,50.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
29.4,53.0,0.0,0.0,28.8,29.1,28.0,50.0,47.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
28.8,50.0,0.0,0.0,29.1,28.0,28.3,47.0,49.0,46.0,0.0,0.0,51.0,0.0,0.0,121.0
29.1,47.0,0.0,0.0,28.0,28.3,31.0,49.0,46.0,38.0,0.0,51.0,98.0,0.0,121.0,317.0
28.0,49.0,0.0,0.0,28.3,31.0,33.0,46.0,38.0,32.0,51.0,98.0,127.0,121.0,317.0,525.0
28.3,46.0,51.0,121.0,31.0,33.0,35.3,38.0,32.0,29.0,98.0,127.0,145.0,317.0,525.0,699.0
31.0,38.0,98.0,317.0,33.0,35.3,37.0,32.0,29.0,25.0,127.0,145.0,156.0,525.0,699.0,817.0
33.0,32.0,127.0,525.0,35.3,37.0,38.0,29.0,25.0,24.0,145.0,156.0,160.0,699.0,817.0,864.0
35.3,29.0,145.0,699.0,37.0,38.0,38.1,25.0,24.0,27.0,156.0,160.0,158.0,817.0,864.0,836.0
37.0,25.0,156.0,817.0,38.0,38.1,37.0,24.0,27.0,33.0,160.0,158.0,149.0,864.0,836.0,737.0
38.0,24.0,160.0,864.0,38.1,37.0,36.0,27.0,33.0,33.0,158.0,149.0,132.0,836.0,737.0,576.0
38.1,27.0,158.0,836.0,37.0,36.0,35.1,33.0,33.0,44.0,149.0,132.0,108.0,737.0,576.0,365.0
37.0,33.0,149.0,737.0,36.0,35.1,34.0,33.0,44.0,53.0,132.0,108.0,66.0,576.0,365.0,159.0
36.0,33.0,132.0,576.0,35.1,34.0,33.0,44.0,53.0,67.0,108.0,66.0,19.0,365.0,159.0,34.0
35.1,44.0,108.0,365.0,34.0,33.0,32.7,53.0,67.0,66.0,66.0,19.0,0.0,159.0,34.0,0.0
34.0,53.0,66.0,159.0,33.0,32.7,33.0,67.0,66.0,67.0,19.0,0.0,0.0,34.0,0.0,0.0
33.0,67.0,19.0,34.0,32.7,33.0,32.0,66.0,67.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
32.7,66.0,0.0,0.0,33.0,32.0,31.7,67.0,71.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,67.0,0.0,0.0,32.0,31.7,32.0,71.0,67.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,31.7,32.0,32.0,67.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
31.7,67.0,0.0,0.0,32.0,32.0,31.9,59.0,59.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,59.0,0.0,0.0,32.0,31.9,31.0,59.0,72.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
